Date,Id,League,Account,Action,Stash,Item,X,Y
"2026-06-06T02:32:41.000Z",2779749167,"Runes of Aldur","MrHubert1710#5930","added","Quad","Ghoul Grasp Unset Ring",3,5
"2026-06-06T02:32:38.000Z",2779748842,"Runes of Aldur","MrHubert1710#5930","removed","$$$","Ghoul Grasp Unset Ring",26,1
"2026-06-06T02:32:37.000Z",2779748775,"Runes of Aldur","MrHubert1710#5930","added","$$$","Ghoul Grasp Unset Ring",26,1
"2026-06-06T02:32:37.000Z",2779748702,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Shattering Waystone (Tier 15) of the Unwavering (T15)",9,6
"2026-06-06T02:32:37.000Z",2779748701,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Iron Intent Waystone (Tier 15) (T15)",9,5
"2026-06-06T02:32:36.000Z",2779748661,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Destiny Solitude Waystone (Tier 15) (T15)",9,4
"2026-06-06T02:32:29.000Z",2779747823,"Runes of Aldur","MrHubert1710#5930","added","Frag","Irradiated Tablet",2,4
"2026-06-06T02:32:28.000Z",2779747684,"Runes of Aldur","MrHubert1710#5930","modified","Aug","64× Greater Desert Rune",3,1
"2026-06-06T02:32:28.000Z",2779747650,"Runes of Aldur","MrHubert1710#5930","added","Quad","Lavish Wombgift",3,4
"2026-06-06T02:32:26.000Z",2779747487,"Runes of Aldur","MrHubert1710#5930","removed","$$$","Ghoul Grasp Unset Ring",26,1
"2026-06-06T02:32:25.000Z",2779747324,"Runes of Aldur","MrHubert1710#5930","added","$$$","Ghoul Grasp Unset Ring",26,1
"2026-06-06T02:32:22.000Z",2779746931,"Runes of Aldur","MrHubert1710#5930","modified","$$$","83× Exalted Orb",7,1
"2026-06-06T02:32:22.000Z",2779746893,"Runes of Aldur","MrHubert1710#5930","modified","$$$","97× Chaos Orb",5,1
"2026-06-06T02:32:21.000Z",2779746851,"Runes of Aldur","MrHubert1710#5930","modified","$$$","32× Greater Regal Orb",47,1
"2026-06-06T02:32:21.000Z",2779746822,"Runes of Aldur","MrHubert1710#5930","modified","$$$","65× Greater Orb of Transmutation",43,1
"2026-06-06T02:32:21.000Z",2779746782,"Runes of Aldur","MrHubert1710#5930","modified","$$$","84× Regal Orb",4,1
"2026-06-06T02:32:20.000Z",2779746738,"Runes of Aldur","MrHubert1710#5930","added","Gems","level 1 0% Vruun's Aftermath",229,1
"2026-06-06T02:32:18.000Z",2779746396,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1709× Breach Splinter",1,2
"2026-06-06T02:32:17.000Z",2779746311,"Runes of Aldur","MrHubert1710#5930","modified","$$$","146× Greater Orb of Augmentation",45,1
"2026-06-06T02:32:17.000Z",2779746265,"Runes of Aldur","MrHubert1710#5930","modified","$$$","3× Perfect Orb of Transmutation",44,1
"2026-06-06T02:32:16.000Z",2779746228,"Runes of Aldur","MrHubert1710#5930","modified","$$$","6× Orb of Annulment",9,1
"2026-06-06T02:32:16.000Z",2779746191,"Runes of Aldur","MrHubert1710#5930","added","Gems","Uncut Skill Gem (Level 19)",228,2
"2026-06-06T02:32:16.000Z",2779746128,"Runes of Aldur","MrHubert1710#5930","modified","$$$","21× Divine Orb",8,1
"2026-06-06T02:32:15.000Z",2779746088,"Runes of Aldur","MrHubert1710#5930","modified","$$$","201× Blacksmith's Whetstone",14,1
"2026-06-06T02:32:15.000Z",2779746045,"Runes of Aldur","MrHubert1710#5930","added","Aug","Idol of Sirrius",106,1
"2026-06-06T02:32:14.000Z",2779745891,"Runes of Aldur","MrHubert1710#5930","modified","$$$","144× Armourer's Scrap",13,1
"2026-06-06T02:32:14.000Z",2779745847,"Runes of Aldur","MrHubert1710#5930","modified","Abbys/Expediton","7× Preserved Jawbone",7,8
"2026-06-06T02:23:37.000Z",2779678431,"Runes of Aldur","MrHubert1710#5930","added","Quad","Plague Weaver Rattling Sceptre",17,1
"2026-06-06T02:23:35.000Z",2779678189,"Runes of Aldur","MrHubert1710#5930","added","Quad","Havoc Ward Dastard Armour",19,1
"2026-06-06T02:23:31.000Z",2779677776,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",9,3
"2026-06-06T02:23:31.000Z",2779677775,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",9,1
"2026-06-06T02:23:31.000Z",2779677737,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Thunderous Waystone (Tier 15) of Fatigue (T15)",9,2
"2026-06-06T02:23:30.000Z",2779677649,"Runes of Aldur","MrHubert1710#5930","added","Frag","Irradiated Tablet",2,1
"2026-06-06T02:23:29.000Z",2779677538,"Runes of Aldur","MrHubert1710#5930","modified","$$$","84× Arcanist's Etcher",12,1
"2026-06-06T02:23:29.000Z",2779677492,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1697× Breach Splinter",1,2
"2026-06-06T02:23:28.000Z",2779677441,"Runes of Aldur","MrHubert1710#5930","added","Quad","Banded Wombgift",3,2
"2026-06-06T02:23:28.000Z",2779677355,"Runes of Aldur","MrHubert1710#5930","modified","$$$","82× Regal Orb",4,1
"2026-06-06T02:23:27.000Z",2779677312,"Runes of Aldur","MrHubert1710#5930","modified","$$$","143× Armourer's Scrap",13,1
